Banner Name,5-Star Character,4-Star Characters,Banner Dates
Butterfly on Swordtip,Seele,"Hook, Natasha, Pela","26th April, 2023 to 17th May, 2023"
Swirl of Heavenly Spear,Jing Yuan,"March 7th, Sushang, Tingyun","17th May, 2023 to 6th June, 2023"
Contract Zero,Silver Wolf,"Asta, Dan Heng, Serval","7th June, 2023 to 28th June, 2023"
Laic Pursuit,Luocha,"Pela, Qingque, Yukong","28th June, 2023 to 18th July, 2023"
A Lost Soul,Blade,"Arlan, Natasha, Sushang","19th July, 2023 to 9th August, 2023"
Nessun Norma,Kafka,"Luka, Sampo, Serval","9th August, 2023 to 29th August, 2023"
Epochal Spectrum,Imbibitor Lunae,"Asta, March 7th, Yukong","30th August, 2023 to 20th September, 2023"
"Foreseen, Foreknown, Foretold",Fu Xuan,"Hook, Lynx, Pela","20th September, 2023 to 10th October, 2023"
Gentle Eclipse of the Moon,Jingliu,"Sampo, Tingyun, Qingque","11th October, 2023 to 27th October, 2023"
Sunset Clause,Topaz and Numby,"Guinaiffen, Luka, Sushang","27th October, 2023 to 14th November, 2023"
Butterfly on Swordtip,Seele,"Guinaiffen, Luka, Sushang","27th October, 2023 to 14th November, 2023"
Bloom in Gloom,Huohuo,"Dan Heng, Arlan, Serval","15th November, 2023 to 6th December, 2023"
Thorns of Scented Crown,Argenti,"Hanya, Lynx, Asta","6th December, 2023 to 26th December, 2023"
Contract Zero,Silver Wolf,"Hanya, Lynx, Asta","6th December, 2023 to 26th December, 2023"
Floral Triptych,Ruan Mei,"March 7th, Tingyun, Xueyi","27th December, 2023 to 17th January, 2024"
A Lost Soul,Blade,"March 7th, Tingyun, Xueyi","27th December, 2023 to 17th January, 2024"
Panta Rhei,Dr Ratio,"Sushang, Natasha, Hook","17th January, 2024 to 5th February, 2024"
Nessun Dorma,Kafka,"Sushang, Natasha, Hook","17th January, 2024 to 5th February, 2024"
Ripples in Reflection,Black Swan,"Misha, Guinaifen, Tingyun","6th February, 2024 to 29th February, 2024"
Epochal Spectrum,Imbibitor Lunae,"Misha, Guinaifen, Tingyun","6th February, 2024 to 29th February, 2024"
